[2020-10-18 04:48:56] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.0.10.woff IP 66.249.88.70 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:56] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.0.9.eot IP 66.249.88.70 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:56] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.0.11.eot IP 66.249.88.73 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:57] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.0.5.eot IP 66.249.88.70 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:57] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.2.0.eot IP 66.249.88.67 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:57] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.0.10.eot IP 66.249.88.70 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:57] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.4.0.eot IP 66.249.88.73 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:57] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.1.0.eot IP 66.249.88.73 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:57] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.6.0.eot IP 66.249.88.70 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:57] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.8.0.eot IP 66.249.88.67 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:57] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.8.1.eot IP 66.249.88.73 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:57] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.3.0.eot IP 66.249.88.70 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:57] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.4.2.eot IP 66.249.88.70 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:57] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.9.0.eot IP 66.249.88.73 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:57] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.8.2.eot IP 66.249.88.73 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:57] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.7.0.eot IP 66.249.88.70 Analytics 5f8c0f8316c18 [] []
